ITERATION, [OBJ_FUNC]OBJECTIVE-1, [OBJ]OBJ_FUNC_DRESP:D-RESPONSE-1, [OBJ]OBJ_FUNC_TERM:D-RESPONSE-1, [CON]OPT-CONSTRAINT-1:LE:D-RESPONSE-2, [VAR]D-RESPONSE-1, [VAR]D-RESPONSE-2, [VAR]AV_CONV_SET-8_ELEM, [VAR]AV_CHG_OBJF_SET-8_ELEM, [VAR]AV_CHG_DV_SET-8_ELEM, [VAR]AV_CONV_TRUE_SET-8_ELEM
Norm-Values:, 6.8611664e+2, 6.8611664e+2, 6.8611664e+2, 4.0192250e-4, 6.8611664e+2, 2.0096125e-3, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 6.8611664e+2, 6.8611664e+2, 6.8611664e+2, 4.0192163e-4, 6.8611664e+2, 4.0192163e-4, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 6.6213544e+2, 6.6213544e+2, 6.6213544e+2, 3.6516777e-4, 6.6213544e+2, 3.6516777e-4, 0.0000000, 3.6217969e-2, 3.3100441e-2, 9.9000001e-1
2, 6.6195514e+2, 6.6195514e+2, 6.6195514e+2, 3.4790981e-4, 6.6195514e+2, 3.4790981e-4, 0.0000000, 2.7237172e-4, 3.3022150e-2, 9.9000001e-1
3, 6.9127399e+2, 6.9127399e+2, 6.9127399e+2, 3.1770079e-4, 6.9127399e+2, 3.1770079e-4, 0.0000000, 4.2412773e-2, 4.3019924e-2, 9.9000001e-1
4, 5.7037683e+2, 5.7037683e+2, 5.7037683e+2, 3.4334828e-4, 5.7037683e+2, 3.4334828e-4, 0.0000000, 2.1196015e-1, 3.3798575e-2, 9.9000001e-1
5, 4.2953360e+2, 4.2953360e+2, 4.2953360e+2, 3.5687129e-4, 4.2953360e+2, 3.5687129e-4, 0.0000000, 3.2789806e-1, 2.8811373e-2, 9.9000001e-1
6, 4.2278485e+2, 4.2278485e+2, 4.2278485e+2, 3.7022453e-4, 4.2278485e+2, 3.7022453e-4, 0.0000000, 1.5962608e-2, 2.4368014e-2, 9.9000001e-1
7, 3.8750113e+2, 3.8750113e+2, 3.8750113e+2, 3.7484444e-4, 3.8750113e+2, 3.7484444e-4, 0.0000000, 9.1054499e-2, 1.9355914e-2, 9.9000001e-1
8, 3.0776996e+2, 3.0776996e+2, 3.0776996e+2, 3.7821615e-4, 3.0776996e+2, 3.7821615e-4, 0.0000000, 2.5906092e-1, 1.8865211e-2, 9.9000001e-1
9, 2.7753381e+2, 2.7753381e+2, 2.7753381e+2, 3.8635026e-4, 2.7753381e+2, 3.8635026e-4, 0.0000000, 1.0894581e-1, 1.6076390e-2, 9.9000001e-1
10, 2.8861032e+2, 2.8861032e+2, 2.8861032e+2, 3.8996042e-4, 2.8861032e+2, 3.8996042e-4, 0.0000000, 3.8378764e-2, 1.3614488e-2, 9.9000001e-1
11, 2.3874173e+2, 2.3874173e+2, 2.3874173e+2, 3.9194259e-4, 2.3874173e+2, 3.9194259e-4, 0.0000000, 2.0888092e-1, 1.1821159e-2, 9.9000001e-1
12, 2.1665091e+2, 2.1665091e+2, 2.1665091e+2, 3.9266192e-4, 2.1665091e+2, 3.9266192e-4, 0.0000000, 1.0196505e-1, 1.1482021e-2, 9.9000001e-1
13, 2.4608748e+2, 2.4608748e+2, 2.4608748e+2, 3.9358181e-4, 2.4608748e+2, 3.9358181e-4, 0.0000000, 1.1961831e-1, 1.1364863e-2, 9.9000001e-1
14, 2.8961673e+2, 2.8961673e+2, 2.8961673e+2, 3.9416802e-4, 2.8961673e+2, 3.9416802e-4, 0.0000000, 1.5029950e-1, 9.5720384e-3, 9.9000001e-1
15, 2.5284976e+2, 2.5284976e+2, 2.5284976e+2, 3.9232802e-4, 2.5284976e+2, 3.9232802e-4, 0.0000000, 1.4541033e-1, 1.2067572e-2, 9.9000001e-1
16, 2.9385474e+2, 2.9385474e+2, 2.9385474e+2, 3.9183322e-4, 2.9385474e+2, 3.9183322e-4, 0.0000000, 1.3954166e-1, 1.2980304e-2, 9.9000001e-1
17, 1.9423055e+2, 1.9423055e+2, 1.9423055e+2, 3.9227810e-4, 1.9423055e+2, 3.9227810e-4, 0.0000000, 5.1291722e-1, 1.3528479e-2, 9.9000001e-1
18, 2.0568945e+2, 2.0568945e+2, 2.0568945e+2, 3.9367942e-4, 2.0568945e+2, 3.9367942e-4, 0.0000000, 5.5709749e-2, 1.2350525e-2, 9.9000001e-1
19, 2.1460355e+2, 2.1460355e+2, 2.1460355e+2, 3.9343236e-4, 2.1460355e+2, 3.9343236e-4, 0.0000000, 4.1537493e-2, 1.2939298e-2, 9.9000001e-1
20, 2.2245171e+2, 2.2245171e+2, 2.2245171e+2, 3.9261364e-4, 2.2245171e+2, 3.9261364e-4, 0.0000000, 3.5280287e-2, 1.3678551e-2, 9.9000001e-1
21, 1.9146852e+2, 1.9146852e+2, 1.9146852e+2, 3.9106776e-4, 1.9146852e+2, 3.9106776e-4, 0.0000000, 1.6181868e-1, 1.5707675e-2, 9.9000001e-1
22, 2.3158450e+2, 2.3158450e+2, 2.3158450e+2, 3.8547927e-4, 2.3158450e+2, 3.8547927e-4, 0.0000000, 1.7322394e-1, 1.9328434e-2, 9.9000001e-1
23, 2.4237122e+2, 2.4237122e+2, 2.4237122e+2, 3.8194977e-4, 2.4237122e+2, 3.8194977e-4, 0.0000000, 4.4504926e-2, 1.9131565e-2, 9.9000001e-1
24, 2.8904922e+2, 2.8904922e+2, 2.8904922e+2, 3.8068939e-4, 2.8904922e+2, 3.8068939e-4, 0.0000000, 1.6148810e-1, 2.0488257e-2, 9.9000001e-1
25, 2.6852197e+2, 2.6852197e+2, 2.6852197e+2, 3.8292495e-4, 2.6852197e+2, 3.8292495e-4, 0.0000000, 7.6445334e-2, 1.8557785e-2, 9.9000001e-1
26, 1.9405940e+2, 1.9405940e+2, 1.9405940e+2, 3.8364908e-4, 1.9405940e+2, 3.8364908e-4, 0.0000000, 3.8371018e-1, 1.5593926e-2, 9.9000001e-1
27, 1.6323705e+2, 1.6323705e+2, 1.6323705e+2, 3.8718659e-4, 1.6323705e+2, 3.8718659e-4, 0.0000000, 1.8881962e-1, 1.1927415e-2, 9.9000001e-1
28, 1.5256673e+2, 1.5256673e+2, 1.5256673e+2, 3.9142463e-4, 1.5256673e+2, 3.9142463e-4, 0.0000000, 6.9938697e-2, 9.8305726e-3, 9.9000001e-1
29, 1.5033234e+2, 1.5033234e+2, 1.5033234e+2, 3.9062958e-4, 1.5033234e+2, 3.9062958e-4, 0.0000000, 1.4863005e-2, 7.9230890e-3, 9.9000001e-1
30, 1.1972540e+2, 1.1972540e+2, 1.1972540e+2, 3.9440178e-4, 1.1972540e+2, 3.9440178e-4, 0.0000000, 2.5564286e-1, 8.1874141e-3, 9.9000001e-1
31, 1.2491461e+2, 1.2491461e+2, 1.2491461e+2, 3.9553919e-4, 1.2491461e+2, 3.9553919e-4, 0.0000000, 4.1542109e-2, 6.3366694e-3, 9.9000001e-1
32, 1.5023979e+2, 1.5023979e+2, 1.5023979e+2, 3.9587048e-4, 1.5023979e+2, 3.9587048e-4, 0.0000000, 1.6856506e-1, 5.8434042e-3, 9.9000001e-1
33, 1.1082267e+2, 1.1082267e+2, 1.1082267e+2, 3.9686091e-4, 1.1082267e+2, 3.9686091e-4, 0.0000000, 3.5567743e-1, 6.3546551e-3, 9.9000001e-1
34, 1.1364986e+2, 1.1364986e+2, 1.1364986e+2, 3.9747191e-4, 1.1364986e+2, 3.9747191e-4, 0.0000000, 2.4876289e-2, 5.0983471e-3, 9.9000001e-1
