ITERATION, OBJECTIVE-1, OBJ_FUNC_DRESP:D-RESPONSE-1, OBJ_FUNC_TERM:D-RESPONSE-1, OPT-CONSTRAINT-1:LE:D-RESPONSE-2
Norm-Values:, 9.3550850e+1, 9.3550850e+1, 9.3550850e+1, 1.0048063e-3
0, 9.3550850e+1, 9.3550850e+1, 9.3550850e+1, 1.0048073e-3
1, 6.5051048e+1, 6.5051048e+1, 6.5051048e+1, 9.6797151e-4
2, 5.5645176e+1, 5.5645176e+1, 5.5645176e+1, 9.6328679e-4
3, 4.3390602e+1, 4.3390602e+1, 4.3390602e+1, 9.6875633e-4
4, 4.3421349e+1, 4.3421349e+1, 4.3421349e+1, 9.7693806e-4
5, 4.3632000e+1, 4.3632000e+1, 4.3632000e+1, 9.8366127e-4
6, 4.0450195e+1, 4.0450195e+1, 4.0450195e+1, 9.9099777e-4
7, 3.8505146e+1, 3.8505146e+1, 3.8505146e+1, 9.9373923e-4
8, 3.7480453e+1, 3.7480453e+1, 3.7480453e+1, 9.9277776e-4
9, 3.5773746e+1, 3.5773746e+1, 3.5773746e+1, 9.9560979e-4
10, 3.5555981e+1, 3.5555981e+1, 3.5555981e+1, 9.9281629e-4
11, 3.4110577e+1, 3.4110577e+1, 3.4110577e+1, 9.8957866e-4
12, 3.3470112e+1, 3.3470112e+1, 3.3470112e+1, 9.9245028e-4
13, 3.2411236e+1, 3.2411236e+1, 3.2411236e+1, 9.9705032e-4
14, 3.1809469e+1, 3.1809469e+1, 3.1809469e+1, 9.9773181e-4
15, 3.1494314e+1, 3.1494314e+1, 3.1494314e+1, 9.9660747e-4
16, 3.1222187e+1, 3.1222187e+1, 3.1222187e+1, 9.9639152e-4
17, 3.0810608e+1, 3.0810608e+1, 3.0810608e+1, 9.9869538e-4
18, 3.0605734e+1, 3.0605734e+1, 3.0605734e+1, 9.9786115e-4
19, 3.0332430e+1, 3.0332430e+1, 3.0332430e+1, 9.9867291e-4
20, 3.0376753e+1, 3.0376753e+1, 3.0376753e+1, 9.9856651e-4
21, 3.0423391e+1, 3.0423391e+1, 3.0423391e+1, 9.9638780e-4
22, 2.9992804e+1, 2.9992804e+1, 2.9992804e+1, 9.9770131e-4
23, 2.9888529e+1, 2.9888529e+1, 2.9888529e+1, 9.9904824e-4
24, 3.0093027e+1, 3.0093027e+1, 3.0093027e+1, 9.9827792e-4
25, 3.0340147e+1, 3.0340147e+1, 3.0340147e+1, 9.9604414e-4
26, 3.3994484e+1, 3.3994484e+1, 3.3994484e+1, 9.9858211e-4
27, 3.0887487e+1, 3.0887487e+1, 3.0887487e+1, 9.9607557e-4
28, 3.0102388e+1, 3.0102388e+1, 3.0102388e+1, 9.9836115e-4
29, 3.0252542e+1, 3.0252542e+1, 3.0252542e+1, 9.9899457e-4
30, 2.9912617e+1, 2.9912617e+1, 2.9912617e+1, 1.0011405e-3
31, 2.9787771e+1, 2.9787771e+1, 2.9787771e+1, 1.0023131e-3
32, 2.9638821e+1, 2.9638821e+1, 2.9638821e+1, 1.0025173e-3
33, 2.9516552e+1, 2.9516552e+1, 2.9516552e+1, 1.0030200e-3
34, 2.9409269e+1, 2.9409269e+1, 2.9409269e+1, 1.0025153e-3
35, 2.9349854e+1, 2.9349854e+1, 2.9349854e+1, 1.0030438e-3
36, 2.9292120e+1, 2.9292120e+1, 2.9292120e+1, 1.0033885e-3
37, 2.9363697e+1, 2.9363697e+1, 2.9363697e+1, 1.0027804e-3
38, 2.9306961e+1, 2.9306961e+1, 2.9306961e+1, 1.0033561e-3
39, 2.9220238e+1, 2.9220238e+1, 2.9220238e+1, 1.0025069e-3
40, 2.9175491e+1, 2.9175491e+1, 2.9175491e+1, 1.0028200e-3
41, 2.9106113e+1, 2.9106113e+1, 2.9106113e+1, 1.0033471e-3
42, 2.9058876e+1, 2.9058876e+1, 2.9058876e+1, 1.0037265e-3
43, 2.8991398e+1, 2.8991398e+1, 2.8991398e+1, 1.0040050e-3
44, 2.8925575e+1, 2.8925575e+1, 2.8925575e+1, 1.0042038e-3
45, 2.8955021e+1, 2.8955021e+1, 2.8955021e+1, 1.0032944e-3
46, 2.8897945e+1, 2.8897945e+1, 2.8897945e+1, 1.0037563e-3
47, 2.8845861e+1, 2.8845861e+1, 2.8845861e+1, 1.0041154e-3
48, 2.8783310e+1, 2.8783310e+1, 2.8783310e+1, 1.0043952e-3
49, 2.8723331e+1, 2.8723331e+1, 2.8723331e+1, 1.0044123e-3
50, 2.8686811e+1, 2.8686811e+1, 2.8686811e+1, 1.0043602e-3
