ITERATION, [OBJ_FUNC]OBJECTIVE-1, [OBJ]OBJ_FUNC_DRESP:D-RESPONSE-1, [OBJ]OBJ_FUNC_TERM:D-RESPONSE-1, [CON]OPT-CONSTRAINT-1:LE:D-RESPONSE-2, [VAR]D-RESPONSE-1, [VAR]D-RESPONSE-2, [VAR]AV_CONV_SET-8_ELEM, [VAR]AV_CHG_OBJF_SET-8_ELEM, [VAR]AV_CHG_DV_SET-8_ELEM, [VAR]AV_CONV_TRUE_SET-8_ELEM
Norm-Values:, 9.3550850e+1, 9.3550850e+1, 9.3550850e+1, 1.0048063e-3, 9.3550850e+1, 2.0096125e-3, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 9.3550850e+1, 9.3550850e+1, 9.3550850e+1, 1.0048073e-3, 9.3550850e+1, 1.0048073e-3, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 6.5051048e+1, 6.5051048e+1, 6.5051048e+1, 9.6797151e-4, 6.5051048e+1, 9.6797151e-4, 0.0000000, 4.3811440e-1, 3.3886787e-2, 9.9000001e-1
2, 5.5645176e+1, 5.5645176e+1, 5.5645176e+1, 9.6328679e-4, 5.5645176e+1, 9.6328679e-4, 0.0000000, 1.6903302e-1, 3.0657340e-2, 9.9000001e-1
3, 4.3390602e+1, 4.3390602e+1, 4.3390602e+1, 9.6875633e-4, 4.3390602e+1, 9.6875633e-4, 0.0000000, 2.8242460e-1, 2.9650940e-2, 9.9000001e-1
4, 4.3421349e+1, 4.3421349e+1, 4.3421349e+1, 9.7693806e-4, 4.3421349e+1, 9.7693806e-4, 0.0000000, 7.0809544e-4, 3.0225892e-2, 9.9000001e-1
5, 4.3632000e+1, 4.3632000e+1, 4.3632000e+1, 9.8366127e-4, 4.3632000e+1, 9.8366127e-4, 0.0000000, 4.8279106e-3, 2.9157354e-2, 9.9000001e-1
6, 4.0450195e+1, 4.0450195e+1, 4.0450195e+1, 9.9099777e-4, 4.0450195e+1, 9.9099777e-4, 0.0000000, 7.8659810e-2, 2.4967251e-2, 9.9000001e-1
7, 3.8505146e+1, 3.8505146e+1, 3.8505146e+1, 9.9373923e-4, 3.8505146e+1, 9.9373923e-4, 0.0000000, 5.0514009e-2, 2.0457733e-2, 9.9000001e-1
8, 3.7480453e+1, 3.7480453e+1, 3.7480453e+1, 9.9277776e-4, 3.7480453e+1, 9.9277776e-4, 0.0000000, 2.7339384e-2, 2.2187475e-2, 9.9000001e-1
9, 3.5773746e+1, 3.5773746e+1, 3.5773746e+1, 9.9560979e-4, 3.5773746e+1, 9.9560979e-4, 0.0000000, 4.7708366e-2, 1.9546388e-2, 9.9000001e-1
10, 3.5555981e+1, 3.5555981e+1, 3.5555981e+1, 9.9281629e-4, 3.5555981e+1, 9.9281629e-4, 0.0000000, 6.1245901e-3, 2.0090535e-2, 9.9000001e-1
11, 3.4110577e+1, 3.4110577e+1, 3.4110577e+1, 9.8957866e-4, 3.4110577e+1, 9.8957866e-4, 0.0000000, 4.2374074e-2, 2.4161797e-2, 9.9000001e-1
12, 3.3470112e+1, 3.3470112e+1, 3.3470112e+1, 9.9245028e-4, 3.3470112e+1, 9.9245028e-4, 0.0000000, 1.9135425e-2, 2.2360794e-2, 9.9000001e-1
13, 3.2411236e+1, 3.2411236e+1, 3.2411236e+1, 9.9705032e-4, 3.2411236e+1, 9.9705032e-4, 0.0000000, 3.2670029e-2, 1.6528822e-2, 9.9000001e-1
14, 3.1809469e+1, 3.1809469e+1, 3.1809469e+1, 9.9773181e-4, 3.1809469e+1, 9.9773181e-4, 0.0000000, 1.8917844e-2, 1.4231792e-2, 9.9000001e-1
15, 3.1494314e+1, 3.1494314e+1, 3.1494314e+1, 9.9660747e-4, 3.1494314e+1, 9.9660747e-4, 0.0000000, 1.0006728e-2, 1.5950367e-2, 9.9000001e-1
16, 3.1222187e+1, 3.1222187e+1, 3.1222187e+1, 9.9639152e-4, 3.1222187e+1, 9.9639152e-4, 0.0000000, 8.7158261e-3, 1.5796006e-2, 9.9000001e-1
17, 3.0810608e+1, 3.0810608e+1, 3.0810608e+1, 9.9869538e-4, 3.0810608e+1, 9.9869538e-4, 0.0000000, 1.3358358e-2, 1.3395071e-2, 9.9000001e-1
18, 3.0605734e+1, 3.0605734e+1, 3.0605734e+1, 9.9786115e-4, 3.0605734e+1, 9.9786115e-4, 0.0000000, 6.6939755e-3, 1.3359113e-2, 9.9000001e-1
19, 3.0332430e+1, 3.0332430e+1, 3.0332430e+1, 9.9867291e-4, 3.0332430e+1, 9.9867291e-4, 0.0000000, 9.0102898e-3, 1.2719170e-2, 9.9000001e-1
20, 3.0376753e+1, 3.0376753e+1, 3.0376753e+1, 9.9856651e-4, 3.0376753e+1, 9.9856651e-4, 0.0000000, 1.4591082e-3, 1.1671165e-2, 9.9000001e-1
21, 3.0423391e+1, 3.0423391e+1, 3.0423391e+1, 9.9638780e-4, 3.0423391e+1, 9.9638780e-4, 0.0000000, 1.5329813e-3, 1.3585181e-2, 9.9000001e-1
22, 2.9992804e+1, 2.9992804e+1, 2.9992804e+1, 9.9770131e-4, 2.9992804e+1, 9.9770131e-4, 0.0000000, 1.4356369e-2, 1.1598248e-2, 9.9000001e-1
23, 2.9888529e+1, 2.9888529e+1, 2.9888529e+1, 9.9904824e-4, 2.9888529e+1, 9.9904824e-4, 0.0000000, 3.4887884e-3, 1.0330406e-2, 9.9000001e-1
24, 3.0093027e+1, 3.0093027e+1, 3.0093027e+1, 9.9827792e-4, 3.0093027e+1, 9.9827792e-4, 0.0000000, 6.7955372e-3, 1.0152177e-2, 9.9000001e-1
25, 3.0340147e+1, 3.0340147e+1, 3.0340147e+1, 9.9604414e-4, 3.0340147e+1, 9.9604414e-4, 0.0000000, 8.1449803e-3, 1.2010400e-2, 9.9000001e-1
26, 3.3994484e+1, 3.3994484e+1, 3.3994484e+1, 9.9858211e-4, 3.3994484e+1, 9.9858211e-4, 0.0000000, 1.0749794e-1, 1.0286863e-2, 9.9000001e-1
27, 3.0887487e+1, 3.0887487e+1, 3.0887487e+1, 9.9607557e-4, 3.0887487e+1, 9.9607557e-4, 0.0000000, 1.0059078e-1, 1.4239835e-2, 9.9000001e-1
28, 3.0102388e+1, 3.0102388e+1, 3.0102388e+1, 9.9836115e-4, 3.0102388e+1, 9.9836115e-4, 0.0000000, 2.6080955e-2, 1.1376169e-2, 9.9000001e-1
29, 3.0252542e+1, 3.0252542e+1, 3.0252542e+1, 9.9899457e-4, 3.0252542e+1, 9.9899457e-4, 0.0000000, 4.9633551e-3, 8.6891251e-3, 9.9000001e-1
30, 2.9912617e+1, 2.9912617e+1, 2.9912617e+1, 1.0011405e-3, 2.9912617e+1, 1.0011405e-3, 0.0000000, 1.1363960e-2, 5.4207998e-3, 9.9000001e-1
31, 2.9787771e+1, 2.9787771e+1, 2.9787771e+1, 1.0023131e-3, 2.9787771e+1, 1.0023131e-3, 0.0000000, 4.1911663e-3, 3.6471151e-3, 9.9000001e-1
32, 2.9638821e+1, 2.9638821e+1, 2.9638821e+1, 1.0025173e-3, 2.9638821e+1, 1.0025173e-3, 0.0000000, 5.0255232e-3, 3.2508452e-3, 9.9000001e-1
33, 2.9516552e+1, 2.9516552e+1, 2.9516552e+1, 1.0030200e-3, 2.9516552e+1, 1.0030200e-3, 0.0000000, 4.1423766e-3, 3.1603435e-3, 9.9000001e-1
34, 2.9409269e+1, 2.9409269e+1, 2.9409269e+1, 1.0025153e-3, 2.9409269e+1, 1.0025153e-3, 0.0000000, 3.6479193e-3, 3.8297598e-3, 9.9000001e-1
35, 2.9349854e+1, 2.9349854e+1, 2.9349854e+1, 1.0030438e-3, 2.9349854e+1, 1.0030438e-3, 0.0000000, 2.0243991e-3, 3.1517448e-3, 9.9000001e-1
36, 2.9292120e+1, 2.9292120e+1, 2.9292120e+1, 1.0033885e-3, 2.9292120e+1, 1.0033885e-3, 0.0000000, 1.9709580e-3, 2.5096599e-3, 9.9000001e-1
37, 2.9363697e+1, 2.9363697e+1, 2.9363697e+1, 1.0027804e-3, 2.9363697e+1, 1.0027804e-3, 0.0000000, 2.4376041e-3, 3.9189551e-3, 9.9000001e-1
38, 2.9306961e+1, 2.9306961e+1, 2.9306961e+1, 1.0033561e-3, 2.9306961e+1, 1.0033561e-3, 0.0000000, 1.9359221e-3, 3.1100025e-3, 9.9000001e-1
39, 2.9220238e+1, 2.9220238e+1, 2.9220238e+1, 1.0025069e-3, 2.9220238e+1, 1.0025069e-3, 0.0000000, 2.9679199e-3, 3.4232954e-3, 9.9000001e-1
40, 2.9175491e+1, 2.9175491e+1, 2.9175491e+1, 1.0028200e-3, 2.9175491e+1, 1.0028200e-3, 0.0000000, 1.5336982e-3, 2.9848085e-3, 9.9000001e-1
41, 2.9106113e+1, 2.9106113e+1, 2.9106113e+1, 1.0033471e-3, 2.9106113e+1, 1.0033471e-3, 0.0000000, 2.3836195e-3, 2.5926779e-3, 9.9000001e-1
42, 2.9058876e+1, 2.9058876e+1, 2.9058876e+1, 1.0037265e-3, 2.9058876e+1, 1.0037265e-3, 0.0000000, 1.6255755e-3, 2.5529531e-3, 9.9000001e-1
43, 2.8991398e+1, 2.8991398e+1, 2.8991398e+1, 1.0040050e-3, 2.8991398e+1, 1.0040050e-3, 0.0000000, 2.3275241e-3, 2.1200730e-3, 9.9000001e-1
44, 2.8925575e+1, 2.8925575e+1, 2.8925575e+1, 1.0042038e-3, 2.8925575e+1, 1.0042038e-3, 0.0000000, 2.2755850e-3, 1.8287160e-3, 9.9000001e-1
45, 2.8955021e+1, 2.8955021e+1, 2.8955021e+1, 1.0032944e-3, 2.8955021e+1, 1.0032944e-3, 0.0000000, 1.0169444e-3, 2.9952375e-3, 9.9000001e-1
46, 2.8897945e+1, 2.8897945e+1, 2.8897945e+1, 1.0037563e-3, 2.8897945e+1, 1.0037563e-3, 0.0000000, 1.9750712e-3, 2.3400756e-3, 9.9000001e-1
47, 2.8845861e+1, 2.8845861e+1, 2.8845861e+1, 1.0041154e-3, 2.8845861e+1, 1.0041154e-3, 0.0000000, 1.8055959e-3, 1.6833340e-3, 9.9000001e-1
48, 2.8783310e+1, 2.8783310e+1, 2.8783310e+1, 1.0043952e-3, 2.8783310e+1, 1.0043952e-3, 0.0000000, 2.1731865e-3, 1.5824611e-3, 9.9000001e-1
49, 2.8723331e+1, 2.8723331e+1, 2.8723331e+1, 1.0044123e-3, 2.8723331e+1, 1.0044123e-3, 0.0000000, 2.0881451e-3, 1.5706377e-3, 9.9000001e-1
50, 2.8686811e+1, 2.8686811e+1, 2.8686811e+1, 1.0043602e-3, 2.8686811e+1, 1.0043602e-3, 0.0000000, 1.2730591e-3, 1.6286132e-3, 9.9000001e-1
