
                  X           centreline probe

                0.               -28.0793E-03 
                2.28             -28.2009E-03 
                4.56             -28.2838E-03 
                6.84             -28.3415E-03 
                9.12             -28.3885E-03 
               11.4              -28.4378E-03 
               13.68             -28.4894E-03 
               15.96             -28.5433E-03 
               18.24             -28.5996E-03 
               20.52             -28.6582E-03 
               22.8              -28.7191E-03 
               25.08             -28.7824E-03 
               27.36             -28.848E-03  
               29.64             -28.9176E-03 
               31.92             -28.99E-03   
               34.2              -29.0643E-03 
               36.48             -29.1407E-03 
               38.76             -29.219E-03  
               41.04             -29.298E-03  
               43.32             -29.3785E-03 
               45.6              -29.4612E-03 
               47.88             -29.5462E-03 
               50.16             -29.6334E-03 
               52.44             -29.7228E-03 
               54.72             -29.8145E-03 
               57.               -29.9084E-03 
               59.28             -30.0046E-03 
               61.56             -30.1032E-03 
               63.84             -30.2125E-03 
               66.12             -30.333E-03  
               68.4              -30.465E-03  
               70.68             -30.6083E-03 
               72.96             -30.7629E-03 
               75.24             -30.9283E-03 
               77.52             -31.0993E-03 
               79.8              -31.2773E-03 
               82.08             -31.4623E-03 
               84.36             -31.6544E-03 
               86.64             -31.8534E-03 
               88.92             -32.0513E-03 
               91.2              -32.3181E-03 
               93.48             -32.6364E-03 
               95.76             -32.9693E-03 
               98.04             -33.3E-03    
              100.32             -33.6283E-03 
              102.6              -33.9544E-03 
              104.88             -34.2781E-03 
              107.16             -34.5995E-03 
              109.44             -34.9072E-03 
              127.68             -34.9285E-03 
              129.96             -34.6852E-03 
              132.24             -34.3273E-03 
              134.52             -33.9811E-03 
              136.8              -33.6427E-03 
              139.08             -33.2958E-03 
              141.36             -32.9692E-03 
              143.64             -32.6629E-03 
              145.92             -32.3768E-03 
              148.2              -32.1109E-03 
              150.48             -31.9166E-03 
              152.76             -31.7314E-03 
              155.04             -31.5529E-03 
              157.32             -31.3706E-03 
              159.6              -31.2002E-03 
              161.88             -31.0419E-03 
              164.16             -30.8958E-03 
              166.44             -30.7617E-03 
              168.72             -30.6243E-03 
              171.               -30.487E-03  
              173.28             -30.3762E-03 
              175.56             -30.2724E-03 
              177.84             -30.1718E-03 
              180.12             -30.0745E-03 
              182.4              -29.9805E-03 
              184.68             -29.8898E-03 
              186.96             -29.8024E-03 
              189.24             -29.7183E-03 
              191.52             -29.6375E-03 
              193.8              -29.5608E-03 
              196.08             -29.488E-03  
              198.36             -29.4181E-03 
              200.64             -29.3511E-03 
              202.92             -29.287E-03  
              205.2              -29.2258E-03 
              207.48             -29.1676E-03 
              209.76             -29.1122E-03 
              212.04             -29.0598E-03 
              214.32             -29.0103E-03 
              216.6              -28.9638E-03 
              218.88             -28.9201E-03 
              221.16             -28.8794E-03 
              223.44             -28.8415E-03 
              225.72             -28.773E-03  
              228.               -28.6608E-03 




