
                  X           centreline probe

                0.               -28.2439E-03 
                2.28             -28.3343E-03 
                4.56             -28.4246E-03 
                6.84             -28.5148E-03 
                9.12             -28.6049E-03 
               11.4              -28.6949E-03 
               13.68             -28.7849E-03 
               15.96             -28.8747E-03 
               18.24             -28.9645E-03 
               20.52             -29.0542E-03 
               22.8              -29.1433E-03 
               25.08             -29.2326E-03 
               27.36             -29.3223E-03 
               29.64             -29.4114E-03 
               31.92             -29.5008E-03 
               34.2              -29.5906E-03 
               36.48             -29.6806E-03 
               38.76             -29.771E-03  
               41.04             -29.8617E-03 
               43.32             -29.9527E-03 
               45.6              -30.044E-03  
               47.88             -30.1356E-03 
               50.16             -30.2436E-03 
               52.44             -30.3526E-03 
               54.72             -30.4666E-03 
               57.               -30.5856E-03 
               59.28             -30.7093E-03 
               61.56             -30.8369E-03 
               63.84             -30.969E-03  
               66.12             -31.1027E-03 
               68.4              -31.2395E-03 
               70.68             -31.3794E-03 
               72.96             -31.5224E-03 
               75.24             -31.6684E-03 
               77.52             -31.8176E-03 
               79.8              -31.9862E-03 
               82.08             -32.1782E-03 
               84.36             -32.3831E-03 
               86.64             -32.5952E-03 
               88.92             -32.8134E-03 
               91.2              -33.0514E-03 
               93.48             -33.2787E-03 
               95.76             -33.5826E-03 
               98.04             -33.9081E-03 
              100.32             -34.2552E-03 
              102.6              -34.6334E-03 
              104.88             -35.0394E-03 
              107.16             -35.4208E-03 
              109.44             -35.7717E-03 
              127.68             -35.7587E-03 
              129.96             -35.3763E-03 
              132.24             -35.0065E-03 
              134.52             -34.6602E-03 
              136.8              -34.3386E-03 
              139.08             -34.0368E-03 
              141.36             -33.7549E-03 
              143.64             -33.493E-03  
              145.92             -33.2306E-03 
              148.2              -32.9717E-03 
              150.48             -32.732E-03  
              152.76             -32.5238E-03 
              155.04             -32.3303E-03 
              157.32             -32.15E-03   
              159.6              -31.983E-03  
              161.88             -31.83E-03   
              164.16             -31.6825E-03 
              166.44             -31.5376E-03 
              168.72             -31.3981E-03 
              171.               -31.2751E-03 
              173.28             -31.1555E-03 
              175.56             -31.0381E-03 
              177.84             -30.9198E-03 
              180.12             -30.8048E-03 
              182.4              -30.6937E-03 
              184.68             -30.5866E-03 
              186.96             -30.4811E-03 
              189.24             -30.3793E-03 
              191.52             -30.2812E-03 
              193.8              -30.1875E-03 
              196.08             -30.097E-03  
              198.36             -30.0056E-03 
              200.64             -29.9136E-03 
              202.92             -29.8215E-03 
              205.2              -29.7292E-03 
              207.48             -29.6367E-03 
              209.76             -29.5441E-03 
              212.04             -29.4514E-03 
              214.32             -29.3585E-03 
              216.6              -29.2654E-03 
              218.88             -29.1722E-03 
              221.16             -29.0789E-03 
              223.44             -28.9865E-03 
              225.72             -28.8941E-03 
              228.               -28.8016E-03 




