ITERATION, [OBJ_FUNC]OBJECTIVE-1, [OBJ]OBJ_FUNC_DRESP:D-RESPONSE-1, [OBJ]OBJ_FUNC_TERM:D-RESPONSE-1, [CON]OPT-CONSTRAINT-1:LE:D-RESPONSE-2, [VAR]D-RESPONSE-1, [VAR]D-RESPONSE-2, [VAR]AV_CONV_SET-8_ELEM, [VAR]AV_CHG_OBJF_SET-8_ELEM, [VAR]AV_CHG_DV_SET-8_ELEM, [VAR]AV_CONV_TRUE_SET-8_ELEM
Norm-Values:, 6.8611664e+2, 6.8611664e+2, 6.8611664e+2, 4.0192250e-4, 6.8611664e+2, 2.0096125e-3, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 6.8611664e+2, 6.8611664e+2, 6.8611664e+2, 4.0192163e-4, 6.8611664e+2, 4.0192163e-4, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 6.6213544e+2, 6.6213544e+2, 6.6213544e+2, 3.6516777e-4, 6.6213544e+2, 3.6516777e-4, 0.0000000, 3.6217969e-2, 3.3100441e-2, 9.9000001e-1
2, 6.6195514e+2, 6.6195514e+2, 6.6195514e+2, 3.4790981e-4, 6.6195514e+2, 3.4790981e-4, 0.0000000, 2.7237172e-4, 3.3022150e-2, 9.9000001e-1
3, 6.9127399e+2, 6.9127399e+2, 6.9127399e+2, 3.1770079e-4, 6.9127399e+2, 3.1770079e-4, 0.0000000, 4.2412773e-2, 4.3019924e-2, 9.9000001e-1
4, 5.7037683e+2, 5.7037683e+2, 5.7037683e+2, 3.4334828e-4, 5.7037683e+2, 3.4334828e-4, 0.0000000, 2.1196015e-1, 3.3798575e-2, 9.9000001e-1
5, 4.2953360e+2, 4.2953360e+2, 4.2953360e+2, 3.5687129e-4, 4.2953360e+2, 3.5687129e-4, 0.0000000, 3.2789806e-1, 2.8811373e-2, 9.9000001e-1
6, 4.2278485e+2, 4.2278485e+2, 4.2278485e+2, 3.7022453e-4, 4.2278485e+2, 3.7022453e-4, 0.0000000, 1.5962608e-2, 2.4368014e-2, 9.9000001e-1
7, 3.8750113e+2, 3.8750113e+2, 3.8750113e+2, 3.7484444e-4, 3.8750113e+2, 3.7484444e-4, 0.0000000, 9.1054499e-2, 1.9355914e-2, 9.9000001e-1
8, 3.0776996e+2, 3.0776996e+2, 3.0776996e+2, 3.7821615e-4, 3.0776996e+2, 3.7821615e-4, 0.0000000, 2.5906092e-1, 1.8865211e-2, 9.9000001e-1
9, 2.7753381e+2, 2.7753381e+2, 2.7753381e+2, 3.8635026e-4, 2.7753381e+2, 3.8635026e-4, 0.0000000, 1.0894581e-1, 1.6076390e-2, 9.9000001e-1
10, 2.8861032e+2, 2.8861032e+2, 2.8861032e+2, 3.8996042e-4, 2.8861032e+2, 3.8996042e-4, 0.0000000, 3.8378764e-2, 1.3614488e-2, 9.9000001e-1
