ITERATION, OBJECTIVE-1, OBJ_FUNC_DRESP:D-RESPONSE-2, OBJ_FUNC_TERM:D-RESPONSE-2, OPT-CONSTRAINT-1:LE:D-RESPONSE-1
Norm-Values:, 1.8643537e+4, 1.8643537e+4, 1.8643537e+4, 2.0000000e-1
0, 1.8643537e+4, 1.8643537e+4, 1.8643537e+4, 1.9999997e-1
1, 1.0438745e+4, 1.0438745e+4, 1.0438745e+4, 1.8352652e-1
2, 5.7954468e+3, 5.7954468e+3, 5.7954468e+3, 1.9240603e-1
3, 4.1486577e+3, 4.1486577e+3, 4.1486577e+3, 1.9584070e-1
4, 3.3533965e+3, 3.3533965e+3, 3.3533965e+3, 1.9705412e-1
5, 2.8442878e+3, 2.8442878e+3, 2.8442878e+3, 1.9716989e-1
6, 2.4569097e+3, 2.4569097e+3, 2.4569097e+3, 1.9726850e-1
7, 2.1744817e+3, 2.1744817e+3, 2.1744817e+3, 1.9715719e-1
8, 1.9391493e+3, 1.9391493e+3, 1.9391493e+3, 1.9687101e-1
9, 1.7532314e+3, 1.7532314e+3, 1.7532314e+3, 1.9638079e-1
10, 1.5457048e+3, 1.5457048e+3, 1.5457048e+3, 1.9541807e-1
11, 1.2684812e+3, 1.2684812e+3, 1.2684812e+3, 1.9379047e-1
12, 9.9206976e+2, 9.9206976e+2, 9.9206976e+2, 1.9241421e-1
13, 8.2325684e+2, 8.2325684e+2, 8.2325684e+2, 1.9438040e-1
14, 7.2548279e+2, 7.2548279e+2, 7.2548279e+2, 1.9568433e-1
15, 6.5735187e+2, 6.5735187e+2, 6.5735187e+2, 1.9658297e-1
16, 6.1501239e+2, 6.1501239e+2, 6.1501239e+2, 1.9659089e-1
17, 5.7922198e+2, 5.7922198e+2, 5.7922198e+2, 1.9699802e-1
18, 5.5641132e+2, 5.5641132e+2, 5.5641132e+2, 1.9681026e-1
19, 5.3457147e+2, 5.3457147e+2, 5.3457147e+2, 1.9749007e-1
20, 5.2090479e+2, 5.2090479e+2, 5.2090479e+2, 1.9814764e-1
21, 5.1229578e+2, 5.1229578e+2, 5.1229578e+2, 1.9823946e-1
22, 5.0622357e+2, 5.0622357e+2, 5.0622357e+2, 1.9850066e-1
23, 4.9596817e+2, 4.9596817e+2, 4.9596817e+2, 1.9893873e-1
24, 4.9253802e+2, 4.9253802e+2, 4.9253802e+2, 1.9894175e-1
25, 4.8653610e+2, 4.8653610e+2, 4.8653610e+2, 1.9895197e-1
26, 4.8153928e+2, 4.8153928e+2, 4.8153928e+2, 1.9900401e-1
27, 4.7634409e+2, 4.7634409e+2, 4.7634409e+2, 1.9915123e-1
28, 4.7539966e+2, 4.7539966e+2, 4.7539966e+2, 1.9882363e-1
29, 4.6962680e+2, 4.6962680e+2, 4.6962680e+2, 1.9930485e-1
30, 4.6711493e+2, 4.6711493e+2, 4.6711493e+2, 1.9925830e-1
31, 4.6563568e+2, 4.6563568e+2, 4.6563568e+2, 1.9916523e-1
32, 4.6329776e+2, 4.6329776e+2, 4.6329776e+2, 1.9937345e-1
33, 4.6176315e+2, 4.6176315e+2, 4.6176315e+2, 1.9932930e-1
34, 4.6027213e+2, 4.6027213e+2, 4.6027213e+2, 1.9949976e-1
35, 4.5827374e+2, 4.5827374e+2, 4.5827374e+2, 1.9970499e-1
36, 4.5740964e+2, 4.5740964e+2, 4.5740964e+2, 1.9972101e-1
37, 4.5684610e+2, 4.5684610e+2, 4.5684610e+2, 1.9973078e-1
38, 4.5640759e+2, 4.5640759e+2, 4.5640759e+2, 1.9968908e-1
