ITERATION, [OBJ_FUNC]OBJECTIVE-1, [OBJ]OBJ_FUNC_DRESP:D-RESPONSE-2, [OBJ]OBJ_FUNC_TERM:D-RESPONSE-2, [CON]OPT-CONSTRAINT-1:LE:D-RESPONSE-1, [VAR]D-RESPONSE-1, [VAR]D-RESPONSE-2, [VAR]AV_CONV_SET-8_ELEM, [VAR]AV_CHG_OBJF_SET-8_ELEM, [VAR]AV_CHG_DV_SET-8_ELEM, [VAR]AV_CONV_TRUE_SET-8_ELEM
Norm-Values:, 1.8643537e+4, 1.8643537e+4, 1.8643537e+4, 2.0000000e-1, 7.4430094e+5, 1.8643537e+4, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 1.8643537e+4, 1.8643537e+4, 1.8643537e+4, 1.9999997e-1, 1.4886017e+5, 1.8643537e+4, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 1.0438745e+4, 1.0438745e+4, 1.0438745e+4, 1.8352652e-1, 1.3659895e+5, 1.0438745e+4, 0.0000000, 7.8599411e-1, 4.7516719e-2, 9.9000001e-1
2, 5.7954468e+3, 5.7954468e+3, 5.7954468e+3, 1.9240603e-1, 1.4320798e+5, 5.7954468e+3, 0.0000000, 8.0119765e-1, 2.6659003e-2, 9.9000001e-1
3, 4.1486577e+3, 4.1486577e+3, 4.1486577e+3, 1.9584070e-1, 1.4576442e+5, 4.1486577e+3, 0.0000000, 3.9694503e-1, 1.8730801e-2, 9.9000001e-1
4, 3.3533965e+3, 3.3533965e+3, 3.3533965e+3, 1.9705412e-1, 1.4666756e+5, 3.3533965e+3, 0.0000000, 2.3715097e-1, 1.5619162e-2, 9.9000001e-1
5, 2.8442878e+3, 2.8442878e+3, 2.8442878e+3, 1.9716989e-1, 1.4675373e+5, 2.8442878e+3, 0.0000000, 1.7899336e-1, 1.6095752e-2, 9.9000001e-1
6, 2.4569097e+3, 2.4569097e+3, 2.4569097e+3, 1.9726850e-1, 1.4682713e+5, 2.4569097e+3, 0.0000000, 1.5766887e-1, 1.6730076e-2, 9.9000001e-1
7, 2.1744817e+3, 2.1744817e+3, 2.1744817e+3, 1.9715719e-1, 1.4674428e+5, 2.1744817e+3, 0.0000000, 1.2988290e-1, 1.7718200e-2, 9.9000001e-1
8, 1.9391493e+3, 1.9391493e+3, 1.9391493e+3, 1.9687101e-1, 1.4653128e+5, 1.9391493e+3, 0.0000000, 1.2135857e-1, 1.9674456e-2, 9.9000001e-1
9, 1.7532314e+3, 1.7532314e+3, 1.7532314e+3, 1.9638079e-1, 1.4616641e+5, 1.7532314e+3, 0.0000000, 1.0604296e-1, 2.0529278e-2, 9.9000001e-1
10, 1.5457048e+3, 1.5457048e+3, 1.5457048e+3, 1.9541807e-1, 1.4544986e+5, 1.5457048e+3, 0.0000000, 1.3426018e-1, 2.3368195e-2, 9.9000001e-1
11, 1.2684812e+3, 1.2684812e+3, 1.2684812e+3, 1.9379047e-1, 1.4423842e+5, 1.2684812e+3, 0.0000000, 2.1854769e-1, 2.8298333e-2, 9.9000001e-1
12, 9.9206976e+2, 9.9206976e+2, 9.9206976e+2, 1.9241421e-1, 1.4321408e+5, 9.9206976e+2, 0.0000000, 2.7862096e-1, 3.2107756e-2, 9.9000001e-1
13, 8.2325684e+2, 8.2325684e+2, 8.2325684e+2, 1.9438040e-1, 1.4467752e+5, 8.2325684e+2, 0.0000000, 2.0505500e-1, 2.4317721e-2, 9.9000001e-1
14, 7.2548279e+2, 7.2548279e+2, 7.2548279e+2, 1.9568433e-1, 1.4564803e+5, 7.2548279e+2, 0.0000000, 1.3477100e-1, 2.0325879e-2, 9.9000001e-1
15, 6.5735187e+2, 6.5735187e+2, 6.5735187e+2, 1.9658297e-1, 1.4631689e+5, 6.5735187e+2, 0.0000000, 1.0364452e-1, 1.7644372e-2, 9.9000001e-1
16, 6.1501239e+2, 6.1501239e+2, 6.1501239e+2, 1.9659089e-1, 1.4632278e+5, 6.1501239e+2, 0.0000000, 6.8843290e-2, 1.6437104e-2, 9.9000001e-1
17, 5.7922198e+2, 5.7922198e+2, 5.7922198e+2, 1.9699802e-1, 1.4662581e+5, 5.7922198e+2, 0.0000000, 6.1790481e-2, 1.5304152e-2, 9.9000001e-1
18, 5.5641132e+2, 5.5641132e+2, 5.5641132e+2, 1.9681026e-1, 1.4648606e+5, 5.5641132e+2, 0.0000000, 4.0996056e-2, 1.4523245e-2, 9.9000001e-1
19, 5.3457147e+2, 5.3457147e+2, 5.3457147e+2, 1.9749007e-1, 1.4699205e+5, 5.3457147e+2, 0.0000000, 4.0854864e-2, 1.2533118e-2, 9.9000001e-1
20, 5.2090479e+2, 5.2090479e+2, 5.2090479e+2, 1.9814764e-1, 1.4748147e+5, 5.2090479e+2, 0.0000000, 2.6236439e-2, 9.5639434e-3, 9.9000001e-1
21, 5.1229578e+2, 5.1229578e+2, 5.1229578e+2, 1.9823946e-1, 1.4754981e+5, 5.1229578e+2, 0.0000000, 1.6804762e-2, 7.9580899e-3, 9.9000001e-1
22, 5.0622357e+2, 5.0622357e+2, 5.0622357e+2, 1.9850066e-1, 1.4774423e+5, 5.0622357e+2, 0.0000000, 1.1995104e-2, 7.2532804e-3, 9.9000001e-1
